famille,cadrage,n,orientation_dominante,mots_cles
Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,39,LFI,"antifascisme, fascistes, antifascistes, fascisme, antifasciste, sarah, sommes, sarah knafo, knafo, front"
Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,32,Media-Centre,"jeune garde, mélenchon, jean luc, luc, garde, luc mélenchon, jeune, jean, liens, insoumise"
Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,27,RN,"extrême gauche, gauche, violence, mouvements, ultra gauche, extrême, ultra, universités, antifa, doit cesser"
Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,20,Media-Centre,"ménage, ménage vos, madame présidente, assassinat, présidente, vos, madame, présidente panneau, 12 personnes, ignoble"
Cadre interprétatif,La violence politique et la radicalisation du débat public imputées tant à LFI qu'à « l'extrême gauche »,17,Media-Centre,"violence, violence politique, politique, débat, politiques, acte, mots, débat politique, débat public, certain nombre"
Cadre interprétatif,La bataille du récit médiatique : emprise des médias Bolloré et critiques de LFI à l'égard des médias,12,Media-Centre,"médias, bolloré, journalistes, news, tribune dimanche, tribune, journalisme, vingt sept, mélenchon, luc mélenchon"
Cadre interprétatif,Révélations Mediapart sur le passé néonazi de Quentin Deranque et déconstruction de la figure du martyr,8,Media-Gauche,"mediapart, raciste antisémite, soutiens, nostalgie, antisémite, tweets, soutiens adolf, pensée, construite autour, fascisme"
Cadre interprétatif,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8,LFI,"france insoumise, insoumise, marianne, france, extrême droite, extrême, républicain, bascule fasciste, insoumise dis, droite"
Fil factuel,Récit et reconstitution des faits,68,Media-Centre,"rima hassan, hassan, rima, quentin, collectif, jeune homme, secours, conférence, agression, étaient"
Fil factuel,Déroulement de l'enquête judiciaire,43,Media-Centre,"interpellés, garde vue, suspects, vue, interpellées, assistant, assistant parlementaire, parmi, parlementaire député, parlementaire"
Fil factuel,Marche d'hommage à Quentin Deranque et controverse des slogans et symboles nazis,29,Media-Régional,"marche, hommage, hommage quentin, saluts, manifestation, saluts nazis, préfecture, cortège, marche hommage, interdiction"
Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",29,Media-Centre,"arnault, raphaël arnault, raphaël, assemblée, assemblée nationale, député, nationale, silence, raphaelarnault, collaborateurs"
Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,20,Media-Gauche,"nemesis, dissolution, collectif, humanité, némésis, échappe, nicolas, intérieur, ministre intérieur, alice cordier"
Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,18,Media-Centre,"jeune garde, garde, jeune, dissolution, juin, autodéfense, deux mille, flèches, conseil, mille vingt"
Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15,Media-Centre,"lion, groupuscules, locaux, ville, lyon, groupes, mille, deux mille, mille dix, deux"
Fil factuel,Minute de silence à l'Assemblée nationale et refus unanime de la violence,14,Media-Centre,"devrait mourir, personne devrait, observer, silence, devrait, chers collègues, observer 1minute, mes chers, demande observer, collègues hommage"
