doc_id,username,acteur_type,orientation_politique,orientation_politique_macro,create_time,topic_rerun,topic_june,statut,famille,cadrage,cadrage_id
0,zemmour_eric,politicien,Reconquête,Politicien-Extreme-Droite,1771861158,-1,-1.0,outlier,,,
1,zemmour_eric,politicien,Reconquête,Politicien-Extreme-Droite,1771793577,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
2,zemmour_eric,politicien,Reconquête,Politicien-Extreme-Droite,1771493681,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
3,zemmour_eric,politicien,Reconquête,Politicien-Extreme-Droite,1771180439,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
4,sarah_knafo,politicien,Reconquête,Politicien-Extreme-Droite,1771247973,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
5,sarah_knafo,politicien,Reconquête,Politicien-Extreme-Droite,1773225790,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
6,rnational_off,politicien,RN,Politicien-Extreme-Droite,1772219243,1,1.0,exclu,,,
7,rnational_off,politicien,RN,Politicien-Extreme-Droite,1771662600,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
8,jordanbardella,politicien,RN,Politicien-Extreme-Droite,1771527094,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
9,sebchenu,politicien,RN,Politicien-Extreme-Droite,1772022636,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
10,sebchenu,politicien,RN,Politicien-Extreme-Droite,1771434538,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
11,jphtanguy,politicien,RN,Politicien-Extreme-Droite,1771406660,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
12,jphtanguy,politicien,RN,Politicien-Extreme-Droite,1771233430,-1,-1.0,outlier,,,
13,franckallisio,politicien,RN,Politicien-Extreme-Droite,1774638604,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
14,fabriceleggeri,politicien,RN,Politicien-Extreme-Droite,1772116003,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
15,fabriceleggeri,politicien,RN,Politicien-Extreme-Droite,1774003377,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
16,kevinmauvieux,politicien,RN,Politicien-Extreme-Droite,1771260552,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
17,lesrepublicains,politicien,LR,Politicien-Droite,1771434561,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
18,laurentwauquiez_,politicien,LR,Politicien-Droite,1771414185,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
19,brunoretailleauoff,politicien,LR,Politicien-Droite,1772051305,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
20,brunoretailleauoff,politicien,LR,Politicien-Droite,1771355276,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
21,brunoretailleauoff,politicien,LR,Politicien-Droite,1775322355,-1,-1.0,outlier,,,
22,fxbellamy,politicien,LR,Politicien-Droite,1772124923,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
23,fxbellamy,politicien,LR,Politicien-Droite,1771861459,22,21.0,garder,Cadre interprétatif,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8
24,fxbellamy,politicien,LR,Politicien-Droite,1771428282,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
25,fxbellamy,politicien,LR,Politicien-Droite,1773331175,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
26,rachida_dati,politicien,LR,Politicien-Droite,1771413933,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
27,horizonsleparti,politicien,Horizons,Politicien-Droite,1771429255,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
28,gdarmanin.officiel,politicien,Renaissance,Politicien-Droite,1771494403,-1,-1.0,outlier,,,
29,fhollandeofficiel,politicien,PS,Politicien-Gauche,1771436851,1,1.0,exclu,,,
30,fhollandeofficiel,politicien,PS,Politicien-Gauche,1771349871,-1,-1.0,outlier,,,
31,lesecologistes,politicien,LE,Politicien-Gauche,1771854138,19,2.0,garder,Fil factuel,Marche d'hommage à Quentin Deranque et controverse des slogans et symboles nazis,11
32,marinetondelier,politicien,LE,Politicien-Gauche,1771682091,19,2.0,garder,Fil factuel,Marche d'hommage à Quentin Deranque et controverse des slogans et symboles nazis,11
33,sandrousseau,politicien,LE,Politicien-Gauche,1772011473,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
34,sandrousseau,politicien,LE,Politicien-Gauche,1772007137,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
35,sandrousseau,politicien,LE,Politicien-Gauche,1771323913,23,,exclu,,,
36,sandrousseau,politicien,LE,Politicien-Gauche,1771237444,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
37,franceinsoumisean,politicien,LFI,Politicien-Gauche-Radicale,1771944007,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
38,franceinsoumisean,politicien,LFI,Politicien-Gauche-Radicale,1771345623,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
39,franceinsoumisean,politicien,LFI,Politicien-Gauche-Radicale,1775574955,3,,exclu,,,
40,franceinsoumisean,politicien,LFI,Politicien-Gauche-Radicale,1776265191,5,6.0,exclu,,,
41,jlmelenchon,politicien,LFI,Politicien-Gauche-Radicale,1771180073,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
42,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773084665,-1,-1.0,outlier,,,
43,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773061713,1,1.0,exclu,,,
44,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1772283383,15,16.0,garder,Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15
45,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1774894672,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
46,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773870196,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
47,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773751490,16,17.0,exclu,,,
48,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773610501,1,1.0,exclu,,,
49,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773604404,1,1.0,exclu,,,
50,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773447775,1,1.0,exclu,,,
51,manonaubryfr,politicien,LFI,Politicien-Gauche-Radicale,1773337962,18,19.0,exclu,,,
52,rima.has,politicien,LFI,Politicien-Gauche-Radicale,1774277151,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
53,rima.has,politicien,LFI,Politicien-Gauche-Radicale,1773257217,22,21.0,garder,Cadre interprétatif,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8
54,mathildepanot,politicien,LFI,Politicien-Gauche-Radicale,1772833206,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
55,mathildepanot,politicien,LFI,Politicien-Gauche-Radicale,1772553080,22,21.0,garder,Cadre interprétatif,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8
56,mathildepanot,politicien,LFI,Politicien-Gauche-Radicale,1771955182,20,20.0,garder,Cadre interprétatif,La bataille du récit médiatique : emprise des médias Bolloré et critiques de LFI à l'égard des médias,6
57,mathildepanot,politicien,LFI,Politicien-Gauche-Radicale,1771613526,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
58,mathildepanot,politicien,LFI,Politicien-Gauche-Radicale,1773685230,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
59,manuelbompard,politicien,LFI,Politicien-Gauche-Radicale,1772116173,-1,-1.0,outlier,,,
60,manuelbompard,politicien,LFI,Politicien-Gauche-Radicale,1772115881,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
61,manuelbompard,politicien,LFI,Politicien-Gauche-Radicale,1773661107,1,1.0,exclu,,,
62,guetteclemence,politicien,LFI,Politicien-Gauche-Radicale,1771950099,22,21.0,garder,Cadre interprétatif,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8
63,guetteclemence,politicien,LFI,Politicien-Gauche-Radicale,1773606213,1,1.0,exclu,,,
64,guetteclemence,politicien,LFI,Politicien-Gauche-Radicale,1775810457,23,,exclu,,,
65,francois_ruffin,politicien,LFI,Politicien-Gauche-Radicale,1772110188,-1,-1.0,outlier,,,
66,clementine_autain,politicien,LFI,Politicien-Gauche-Radicale,1770911098,3,,exclu,,,
67,louisboyard,politicien,LFI,Politicien-Gauche-Radicale,1771442487,-1,-1.0,outlier,,,
68,sebastiendelogu,politicien,LFI,Politicien-Gauche-Radicale,1773748401,16,17.0,exclu,,,
69,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1772051726,-1,-1.0,outlier,,,
70,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771872300,-1,-1.0,outlier,,,
71,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771853230,-1,-1.0,outlier,,,
72,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771758540,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
73,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771410058,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
74,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771402720,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
75,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771356047,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
76,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1771354124,-1,-1.0,outlier,,,
77,alma_dufour,politicien,LFI,Politicien-Gauche-Radicale,1773795117,16,17.0,exclu,,,
78,alexis_corbiere,politicien,LFI,Politicien-Gauche-Radicale,1771250366,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
79,deputee_obono,politicien,LFI,Politicien-Gauche-Radicale,1771707161,5,6.0,exclu,,,
80,deputee_obono,politicien,LFI,Politicien-Gauche-Radicale,1774637971,-1,-1.0,outlier,,,
81,deputee_obono,politicien,LFI,Politicien-Gauche-Radicale,1774364103,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
82,deputee_obono,politicien,LFI,Politicien-Gauche-Radicale,1773661838,1,1.0,exclu,,,
83,eric.coquerel,politicien,LFI,Politicien-Gauche-Radicale,1772028177,-1,-1.0,outlier,,,
84,eric.coquerel,politicien,LFI,Politicien-Gauche-Radicale,1771327806,-1,-1.0,outlier,,,
85,eric.coquerel,politicien,LFI,Politicien-Gauche-Radicale,1773910689,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
86,eric.coquerel,politicien,LFI,Politicien-Gauche-Radicale,1773670730,1,1.0,exclu,,,
87,eric.coquerel,politicien,LFI,Politicien-Gauche-Radicale,1773301100,1,1.0,exclu,,,
88,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1773156159,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
89,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1771780757,15,16.0,garder,Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15
90,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1771577183,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
91,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1773950770,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
92,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1773422014,1,1.0,exclu,,,
93,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1776194142,5,6.0,exclu,,,
94,thomas_portes,politicien,LFI,Politicien-Gauche-Radicale,1775908211,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
95,aleaument,politicien,LFI,Politicien-Gauche-Radicale,1771609573,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
96,aleaument,politicien,LFI,Politicien-Gauche-Radicale,1771437204,-1,-1.0,outlier,,,
97,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1772471672,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
98,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1772121624,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
99,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1771415122,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
100,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1771365433,22,21.0,garder,Cadre interprétatif,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8
101,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1771316930,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
102,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1771262214,-1,-1.0,outlier,,,
103,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1775144515,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
104,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1773754628,1,1.0,exclu,,,
105,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1773413188,1,1.0,exclu,,,
106,paulvannier,politicien,LFI,Politicien-Gauche-Radicale,1773322152,1,1.0,exclu,,,
107,cmbilongo,politicien,LFI,Politicien-Gauche-Radicale,1772234840,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
108,damien.maudet,politicien,LFI,Politicien-Gauche-Radicale,1772624625,-1,-1.0,outlier,,,
109,particommuniste,politicien,PCF,Politicien-Gauche-Radicale,1772113943,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
110,npa.anticapitaliste,politicien,NPA,Politicien-Gauche-Radicale,1772380536,18,19.0,exclu,,,
111,npa.anticapitaliste,politicien,NPA,Politicien-Gauche-Radicale,1775501203,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
112,nathaliearthaud,politicien,LO,Politicien-Gauche-Radicale,1771876240,-1,-1.0,outlier,,,
113,nathaliearthaud,politicien,LO,Politicien-Gauche-Radicale,1771574455,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
114,dominiquedevillepin,politicien,LFH,Politicien-Gauche,1774386039,3,,exclu,,,
115,dominiquedevillepin,politicien,LFH,Politicien-Gauche,1773598457,3,,exclu,,,
116,dominiquedevillepin,politicien,LFH,Politicien-Gauche,1773342684,1,1.0,exclu,,,
117,dupontaignannicolas,politicien,RN,Politicien-Extreme-Droite,1772128665,-1,-1.0,outlier,,,
118,dupontaignannicolas,politicien,RN,Politicien-Extreme-Droite,1771519008,-1,-1.0,outlier,,,
119,dupontaignannicolas,politicien,RN,Politicien-Extreme-Droite,1771264550,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
120,florianphilippot,politicien,RN,Politicien-Extreme-Droite,1771177766,17,18.0,garder,Fil factuel,Minute de silence à l'Assemblée nationale et refus unanime de la violence,16
121,marion_marechal,politicien,Reconquête,Politicien-Extreme-Droite,1771495251,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
122,marion_marechal,politicien,Reconquête,Politicien-Extreme-Droite,1771098120,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
123,marion_marechal,politicien,Reconquête,Politicien-Extreme-Droite,1771087701,-1,-1.0,outlier,,,
124,marion_marechal,politicien,Reconquête,Politicien-Extreme-Droite,1775412537,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
125,marion_marechal,politicien,Reconquête,Politicien-Extreme-Droite,1773307985,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
126,aymeric.caron,politicien,LE,Politicien-Gauche,1773322794,1,1.0,exclu,,,
127,lhumanitefr,media,Media-Gauche,Media-Gauche,1773158413,-1,-1.0,outlier,,,
128,lhumanitefr,media,Media-Gauche,Media-Gauche,1772734710,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
129,lhumanitefr,media,Media-Gauche,Media-Gauche,1772352025,-1,-1.0,outlier,,,
130,lhumanitefr,media,Media-Gauche,Media-Gauche,1772280017,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
131,lhumanitefr,media,Media-Gauche,Media-Gauche,1772211637,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
132,lhumanitefr,media,Media-Gauche,Media-Gauche,1772112582,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
133,lhumanitefr,media,Media-Gauche,Media-Gauche,1772038821,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
134,lhumanitefr,media,Media-Gauche,Media-Gauche,1772025161,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
135,lhumanitefr,media,Media-Gauche,Media-Gauche,1772015663,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
136,lhumanitefr,media,Media-Gauche,Media-Gauche,1771952694,15,16.0,garder,Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15
137,lhumanitefr,media,Media-Gauche,Media-Gauche,1771848270,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
138,lhumanitefr,media,Media-Gauche,Media-Gauche,1771603215,-1,-1.0,outlier,,,
139,lhumanitefr,media,Media-Gauche,Media-Gauche,1771341488,15,16.0,garder,Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15
