topic_id,n_docs,mots_cles_corriges,top_orientation,decision,cadrage_label,cadrage_id,famille,fusionner_avec,notes,test_cadre_Entman
0,77,"rima hassan, hassan, rima, quentin, collectif, jeune homme, secours, conférence, agression, étaient",Media-Centre,garder,Récit et reconstitution des faits,9,Fil factuel,,,s.o. — fil factuel (non soumis au test)
1,55,"tour, listes, second tour, second, villes, 1ère tour, municipales, droite extrême, front antifasciste, municipales2026",Media-Centre,exclure,,,,,Contexte électoral (municipales 2026) trop éloigné de la mort de QD,
2,46,"marche, hommage, hommage quentin, saluts, manifestation, saluts nazis, préfecture, cortège, marche hommage, interdiction",Media-Centre,garder,Marche d'hommage à Quentin Deranque et controverse des slogans et symboles nazis,11,Fil factuel,,,s.o. — fil factuel (non soumis au test)
3,51,"antifascisme, fascistes, antifascistes, fascisme, antifasciste, sarah, sommes, sarah knafo, knafo, front",LFI,garder,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1,Cadre interprétatif,,"Cadre définitionnel autonome ; fusion écartée, conservé distinct (granularité)",Cadre définitionnel : problème (sens de l'antifascisme) + jugement moral fort ; cause partielle. PASSE
4,39,"extrême gauche, gauche, violence, mouvements, ultra gauche, extrême, ultra, universités, antifa, doit cesser",Media-Centre,garder,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3,Cadre interprétatif,,,"4 fonctions : problème (violence ultra-gauche), cause (ultra-gauche + complaisance LFI), jugement (« tue »), remède (mise en cause). PASSE (canonique)"
5,29,"arnault, raphaël arnault, raphaël, assemblée, assemblée nationale, député, nationale, silence, raphaelarnault, collaborateurs",Media-Centre,garder,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12,Fil factuel,,Fil factuel conservé distinct ; T13 fusionné dans T8 (enquête),s.o. — fil factuel (non soumis au test)
6,41,"algérie, génocide, israël, blancs, iran, actu, maroc, bricolage, gâteau, info",Media-Centre,exclure,,,,,Bruit / fourre-tout : format brèves et faux positifs (ex. Quentin Tarantino) ; faible cohérence,
7,32,"jeune garde, mélenchon, jean luc, luc, garde, luc mélenchon, jeune, jean, liens, insoumise",Media-Centre,garder,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2,Cadre interprétatif,,Contient l'accusation (liens LFI–Jeune Garde) et la contre-offensive de LFI (Mélenchon et Arthaud) ; distinct de T4,"Problème (liens LFI–Jeune Garde), cause (culpabilité par association) + réfutation Mélenchon, jugement (complicité). PASSE"
8,24,"examen, homicide, homicide volontaire, volontaire, mise examen, provisoire, détention, détention provisoire, mise, investigations",Media-Centre,garder,Déroulement de l'enquête judiciaire,10,Fil factuel,,Absorbe T13 (interpellations/gardes à vue),s.o. — fil factuel (non soumis au test)
9,40,"violence, violence politique, politique, débat, politiques, acte, mots, débat politique, débat public, certain nombre",Media-Centre,garder,La violence politique et la radicalisation du débat public imputées tant à LFI qu'à « l'extrême gauche »,5,Cadre interprétatif,,"Faisceau de mise en cause proche de T4 et T7 ; fusion écartée, conservé distinct (granularité)","Problème (radicalisation), cause + jugement génériques, remède flou. PASSE mais diffus (parapluie de T4/T7)"
